title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
"Boku wa Nandodemo, Kimi ni Hajimete no Koi wo Suru.",107154,Manga,13.0,2.0,Finished,"['Drama', 'Romance', 'Slice of Life']",7.03,7262.0,"['Nishizaki, Riichi', 'Okita, En']",Gangan Online
Dokuzetsu Shoujo wa Amanojaku: Kabegoshi nara Sunao ni Suki tte Ierumon!,134676,Manga,,,Publishing,"['Comedy', 'Romance']",,34389.0,"['Uemura, Natsuki', 'Abi']",Comic Fire
Game Yaru kara 100-en Kashite!,107706,Manga,26.0,3.0,Finished,"['Comedy', 'Romance', 'Slice of Life']",6.85,9475.0,"['Nakano', 'Zawa']",Young Ace UP
I Love You Baby,66193,Manga,28.0,4.0,Finished,"['Drama', 'Romance']",7.48,2687.0,"['Komori, Mikko']",Margaret
Isekai Yurutto Survival Seikatsu: Gakkou no Mina to Isekai no Mujintou ni Teni shita kedo Ore dake Rakushou desu,130707,Manga,,,Publishing,"['Comedy', 'Ecchi']",6.79,10105.0,"['Nishio, Youichi', 'Ayano']",Dragon Age
Kakao 79%,110882,Manga,,,Publishing,"['Comedy', 'Romance']",7.47,2761.0,"['Aoi, Umi']",comico
Kanpeki na Kanojo,21635,Manga,36.0,6.0,Finished,"['Comedy', 'Romance']",6.72,10895.0,"['Akizuki, Wataru']",Web Comic High!
"Kimi wa Maru de, Ano Hana no You de.",40537,Manga,3.0,1.0,Finished,['Romance'],6.62,11970.0,"['Gotou, Misaki']",Sho-Comi
Love Calendar,43759,Manga,12.0,2.0,Finished,['Romance'],7.03,7209.0,"['Minase, Mayu', 'DECO*27']",Big Gangan
Maou-sama no Yuusha Toubatsuki,17544,Manga,3.0,1.0,Finished,[],6.68,11351.0,['CHuN'],Gangan Wing
Maria x Maria,120763,Manga,41.0,7.0,Finished,"['Comedy', 'Romance', 'Ecchi']",,32102.0,"['Kawakata, Kaoru']",Magazine Special
Moriguchi Orito no Teiougaku,10348,Manga,14.0,2.0,Finished,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",6.75,10511.0,"['Okayu, Masaki', 'Sanada, Rin']",Dengeki Daioh
Ooyankee!!: Yankee Ooyasan to Boku no Apartment-gurashi,131461,Manga,22.0,2.0,Finished,"['Comedy', 'Slice of Life']",6.6,12121.0,"['Aoi, Hinata']",Sunday Webry
Sae-ism,88645,Manga,,,Publishing,['Drama'],6.32,14227.0,"['Uchimizu, Tooru']",Champion Cross
Sensei ni wa Mada Iwanai,127465,Manga,6.0,1.0,Finished,['Girls Love'],6.65,11672.0,"['Misaki, Tenmu']",Gangan Online
